ID,IsVIP,CountryCode,TotalUnits,TotalFee,Industry,Tenure,UsersCount,Churn,ChurnPerc,TicketsCount,TicketsPriorityMean,TicketsClosedCount,SLATimeUsedTotal,SLATimeUsedMean,SLAPercentageTotal,SLAPercentageMean,NonCompliantSLACount,RMACount,RMAUnitsCount,MDVRCount,FatigueMonitorCount,FuelSensorCount,PowerOnEventsCount,PricingCancelCount,ClosedBussCancelCount,NoPaymentCancelCount,SoldVehicleCancelCount,NoUsedVehicleCancelCount,MultHWCasesCancelCount,NoUsedCancelCount
57040,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,22,0,0,1,0,0,0,0
57041,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,19,0,0,0,0,0,1,0
57042,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,88,0,0,0,0,0,1,0
57044,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,26,0,0,1,0,0,0,0
57045,0,CO,5,0.00,Transportation & Logistics,43,1,1,100.00,4,3.00,3,0,0.00,0,0.00,4,0,0,0,0,0,0,0,0,0,0,0,2,0
57046,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,63,0,0,1,0,0,0,0
57048,0,CO,3,89.97,Transportation & Logistics,43,1,1,100.00,1,3.00,0,0,0.00,0,0.00,1,0,0,0,0,0,1600,0,0,0,0,0,1,0
57051,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,107,0,0,1,0,0,0,0
57059,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,105,0,0,1,0,0,0,0
57062,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,869,0,0,0,1,0,0,0
57064,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,28,0,0,1,0,0,0,0
57069,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,97,0,0,1,0,0,0,0
57070,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,141,0,0,0,0,0,1,0
